***** MassBank Batch Service Results *****

Request Date: 2010/04/21 17:16:25 JST
# Instrument Type: ALL
# Ion Mode: Positive


### Query 1 ###
# Name: Sample1
# Hit: 50

Top 20 List
Accession	Title	Formula	Mass	Score	Hit
KO003484	Mannosamine; MS/MS; QqQ; CE:30 V; [M+H]+	C6H13NO5	179.07937	0.2221	3
KO007580	Histidinol; MS/MS; QqTOF; CE:40 V; [M+H]+	C6H11N3O	141.09021	0.2181	3
KO003141	Histidinol; MS/MS; QqQ; CE:40 V; [M+H]+	C6H11N3O	141.09021	0.2173	3
KO007416	Galactosamine; MS/MS; QqTOF; CE:50 V; [M+H]+	C6H13NO5	179.07937	0.2165	3
KO007801	4-Methyl-5-thiazoleethanol; MS/MS; QqTOF; CE:50 V; [M+H]+	C6H9NOS	143.04048	0.2141	3
KO007414	Galactosamine; MS/MS; QqTOF; CE:30 V; [M+H]+	C6H13NO5	179.07937	0.2109	3
KO007581	Histidinol; MS/MS; QqTOF; CE:50 V; [M+H]+	C6H11N3O	141.09021	0.2104	3
KO007579	Histidinol; MS/MS; QqTOF; CE:30 V; [M+H]+	C6H11N3O	141.09021	0.2053	3
KO007944	Mannosamine; MS/MS; QqTOF; CE:30 V; [M+H]+	C6H13NO5	179.07937	0.1950	3


##### END #####

**********************************************************
*  MassBank.jp - High Resolution Mass Spectral Database  *
*    URL: http://www.massbank.jp/                        *
**********************************************************

